Sample	Tissue	Donor	Gender
GTEX.13NYS.0226.SM.5MR49	Subcutaneous	GTEX.13NYS	Male
GTEX.13NYS.0726.SM.5J1OR	Visceral	GTEX.13NYS	Male
GTEX.13NZ8.0926.SM.5MR3U	Subcutaneous	GTEX.13NZ8	Female
GTEX.13NZ9.0526.SM.5J1OX	Subcutaneous	GTEX.13NZ9	Male
GTEX.13NZ9.2026.SM.5KM1U	Visceral	GTEX.13NZ9	Male
GTEX.13NZA.0126.SM.5K7UH	Subcutaneous	GTEX.13NZA	Male
GTEX.13NZB.0826.SM.5K7X5	Visceral	GTEX.13NZB	Male
GTEX.13NZB.2426.SM.5K7UF	Subcutaneous	GTEX.13NZB	Male
GTEX.13O1R.0226.SM.5K7U5	Subcutaneous	GTEX.13O1R	Male
GTEX.13O21.1526.SM.5K7W4	Subcutaneous	GTEX.13O21	Male
GTEX.13O21.3126.SM.5J1OI	Visceral	GTEX.13O21	Male
GTEX.13O3P.0226.SM.5KM3Z	Subcutaneous	GTEX.13O3P	Male
GTEX.13O3P.0926.SM.5IFFI	Visceral	GTEX.13O3P	Male
GTEX.13O3Q.1126.SM.5K7YK	Visceral	GTEX.13O3Q	Male
GTEX.13O3Q.2326.SM.5KM3G	Subcutaneous	GTEX.13O3Q	Male
GTEX.13O61.1926.SM.5KM1R	Visceral	GTEX.13O61	Male
GTEX.13O61.2426.SM.5J1NV	Subcutaneous	GTEX.13O61	Male
GTEX.13OVG.1326.SM.5K7Y3	Visceral	GTEX.13OVG	Male
GTEX.13OVH.1126.SM.5K7YP	Visceral	GTEX.13OVH	Male
GTEX.13OVI.1326.SM.5IJBO	Subcutaneous	GTEX.13OVI	Female
GTEX.13OVJ.0326.SM.5L3GL	Subcutaneous	GTEX.13OVJ	Female
GTEX.13OVJ.0926.SM.5K7U1	Visceral	GTEX.13OVJ	Female
GTEX.13OVK.0326.SM.7KUEJ	Visceral	GTEX.13OVK	Male
GTEX.13OVK.2126.SM.6PAN1	Subcutaneous	GTEX.13OVK	Male
GTEX.13OVL.0326.SM.5IJCS	Subcutaneous	GTEX.13OVL	Male
GTEX.13OVL.0826.SM.5L3GV	Visceral	GTEX.13OVL	Male
GTEX.13OW6.0526.SM.5L3HY	Subcutaneous	GTEX.13OW6	Male
GTEX.13OW6.2426.SM.5K7WO	Visceral	GTEX.13OW6	Male
GTEX.13OW7.0226.SM.5MR3N	Subcutaneous	GTEX.13OW7	Male
GTEX.13OW7.1126.SM.5K7V6	Visceral	GTEX.13OW7	Male
GTEX.13OW8.0326.SM.5L3FB	Visceral	GTEX.13OW8	Male
GTEX.13OW8.1226.SM.5K7XD	Subcutaneous	GTEX.13OW8	Male
GTEX.13PDP.0226.SM.5K7W9	Subcutaneous	GTEX.13PDP	Male
GTEX.13PDP.1226.SM.5K7TW	Visceral	GTEX.13PDP	Male
GTEX.13PL6.0926.SM.5KLYY	Visceral	GTEX.13PL6	Female
GTEX.13PL7.1226.SM.5SIAR	Visceral	GTEX.13PL7	Female
GTEX.13PLJ.0126.SM.5L3HU	Subcutaneous	GTEX.13PLJ	Female
GTEX.13PVQ.0226.SM.5SIBG	Subcutaneous	GTEX.13PVQ	Male
GTEX.13PVQ.2226.SM.5L3G9	Visceral	GTEX.13PVQ	Male
GTEX.13PVR.0526.SM.5S2OB	Visceral	GTEX.13PVR	Female
GTEX.13PVR.2426.SM.5RQHN	Subcutaneous	GTEX.13PVR	Female
GTEX.13QBU.1326.SM.5LU4K	Visceral	GTEX.13QBU	Female
GTEX.13QBU.2526.SM.5LU4X	Subcutaneous	GTEX.13QBU	Female
GTEX.13QJ3.0426.SM.5RQHP	Subcutaneous	GTEX.13QJ3	Male
GTEX.13RTJ.2526.SM.5S2Q3	Subcutaneous	GTEX.13RTJ	Male
GTEX.13RTK.0726.SM.5Q5EN	Visceral	GTEX.13RTK	Male
GTEX.13S7M.0226.SM.5S2UG	Subcutaneous	GTEX.13S7M	Female
GTEX.13S7M.0826.SM.5QGQX	Visceral	GTEX.13S7M	Female
GTEX.13S86.0926.SM.5SI6I	Visceral	GTEX.13S86	Male
GTEX.13SLW.0226.SM.5S2NA	Subcutaneous	GTEX.13SLW	Male
GTEX.13SLX.0426.SM.5QGRC	Subcutaneous	GTEX.13SLX	Female
GTEX.13U4I.0226.SM.5SIB1	Subcutaneous	GTEX.13U4I	Female
GTEX.13U4I.1726.SM.5J1MF	Visceral	GTEX.13U4I	Female
GTEX.13VXT.0226.SM.5LU9Q	Subcutaneous	GTEX.13VXT	Female
GTEX.13VXT.0926.SM.5LU5K	Visceral	GTEX.13VXT	Female
GTEX.13VXU.0226.SM.5SI9R	Subcutaneous	GTEX.13VXU	Male
GTEX.13VXU.1026.SM.5KLZE	Visceral	GTEX.13VXU	Male
GTEX.13W3W.1126.SM.5L3DO	Visceral	GTEX.13W3W	Female
GTEX.13W3W.2526.SM.5SI9P	Subcutaneous	GTEX.13W3W	Female
GTEX.13W46.1226.SM.5SIAS	Visceral	GTEX.13W46	Male
GTEX.13X6H.1726.SM.5Q5EH	Visceral	GTEX.13X6H	Female
GTEX.13X6I.1526.SM.5SIAC	Visceral	GTEX.13X6I	Male
GTEX.13X6J.0226.SM.7EPGC	Subcutaneous	GTEX.13X6J	Male
GTEX.13X6J.1926.SM.5TDCU	Visceral	GTEX.13X6J	Male
GTEX.13X6K.0226.SM.5QGPB	Subcutaneous	GTEX.13X6K	Female
GTEX.13X6K.0726.SM.5LU2Z	Visceral	GTEX.13X6K	Female
GTEX.13YAN.0426.SM.5O9DR	Subcutaneous	GTEX.13YAN	Male
GTEX.13YAN.1126.SM.5TDC7	Visceral	GTEX.13YAN	Male
GTEX.1445S.2426.SM.79ON2	Visceral	GTEX.1445S	Male
GTEX.144FL.0226.SM.5Q5D4	Subcutaneous	GTEX.144FL	Male
GTEX.144GL.0226.SM.5QGOX	Subcutaneous	GTEX.144GL	Male
GTEX.144GM.0626.SM.79OKY	Visceral	GTEX.144GM	Male
GTEX.144GM.1926.SM.5LUAN	Subcutaneous	GTEX.144GM	Male
